Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9027777777777778,0.28888888888888886,0.33273020055628755,0.28888888888888886,0.2994819850136851
SVM,0.4527777777777778,0.2777777777777778,0.2870548433048433,0.2777777777777778,0.27119681760167974
KNN,0.5055555555555555,0.2777777777777778,0.2753687731033269,0.2777777777777778,0.27339186094888357
