Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9138888888888889,0.35555555555555557,0.47150617283950613,0.35555555555555557,0.3731480815351783
SVM,0.39166666666666666,0.2777777777777778,0.2852539821289822,0.2777777777777778,0.2659522683778003
KNN,0.5055555555555555,0.32222222222222224,0.33025289888034987,0.32222222222222224,0.32221049103402044
