Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9027777777777778,0.3333333333333333,0.39447925368978,0.3333333333333333,0.341544009292488
SVM,0.425,0.24444444444444444,0.29597720797720795,0.24444444444444444,0.2501834533596271
KNN,0.5333333333333333,0.36666666666666664,0.3965177133655395,0.36666666666666664,0.3710742212869873
