Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.8972222222222223,0.24444444444444444,0.23362501695835028,0.24444444444444444,0.22467448604969828
SVM,0.4361111111111111,0.23333333333333334,0.26944372988515597,0.23333333333333334,0.2271744328696484
KNN,0.49722222222222223,0.32222222222222224,0.34656084656084657,0.32222222222222224,0.30872374539041203
